id,first_name,last_name,num_reviews,avg_review,img_problems,type,num_previous_clients,days_since_login,age,years_experience
455,Suzanne,Ketchum,2,3.93,1,basic,5,17,43,5
456,Glenn,Sloat,0,4.48,1,expert,2,4,40,4
457,Leroy,Mcdermott,2,2.17,4,basic,0,20,21,8
458,Gary,Pedersen,3,2.39,0,expert,2,6,38,5
459,Daniel,Brooks,2,3.16,5,advanced,0,46,31,5
460,Darla,Simonson,3,3.88,4,expert,0,7,44,6
461,Angela,Reid,0,0.22,4,advanced,0,35,38,7
462,Mary,Schultz,2,2.42,3,basic,2,72,51,2
463,Judith,Sherbert,0,1.55,6,basic,1,72,32,1
464,Patty,Shell,3,0.77,6,basic,0,8,47,8
465,Maria,Monte,1,2.95,2,advanced,1,11,46,5
466,Mario,Paynter,3,2.86,5,basic,3,0,32,8
467,Sandra,Hall,1,4.23,3,expert,3,5,37,11
468,Robert,Alvarez,2,1.05,4,basic,1,26,53,11
469,Dorothy,Shaw,3,2.38,4,basic,0,46,48,12
470,Kenneth,Havlik,2,2.66,1,basic,1,2,45,14
471,Rebekah,Vickers,3,0.22,0,advanced,4,0,21,5
472,Elisabeth,Diberardino,1,0.15,3,expert,1,46,51,10
473,Gloria,Pool,1,0.95,2,advanced,2,17,31,1
474,Rigoberto,Martin,1,0.2,7,advanced,1,72,23,2
475,Joseph,Wilder,0,1.57,5,advanced,3,0,51,4
476,Thomas,Moore,1,1.5,1,advanced,2,14,20,12
477,Robert,Maldonado,2,4.48,4,basic,5,72,24,5
478,Robert,Kenney,1,2.83,6,basic,2,1,47,6
479,Glenn,Stephens,2,0.7,6,basic,0,46,39,11
480,Blanche,Mcmorran,0,2.34,3,expert,0,14,28,13
481,Louise,Canty,2,0.9,1,expert,0,35,49,5
482,Roxann,Bliler,2,3.21,5,basic,0,0,40,9
483,Erika,Tubbs,2,4.39,0,basic,2,2,30,3
484,John,Jesus,2,2.67,6,advanced,2,6,25,9
485,Amber,Payne,2,1.64,6,advanced,0,1,52,11
486,Terrence,Sealy,3,4.88,5,advanced,0,1,53,6
487,Claude,Eaker,3,3.87,7,basic,0,0,21,5
488,Pamela,Palmer,0,3.54,4,advanced,0,1,30,14
489,Frieda,Ollis,1,1.81,5,expert,4,5,46,3
490,Kim,Snider,0,2.64,6,advanced,0,5,22,5
491,John,Goodman,3,0.68,1,basic,0,26,30,5
492,John,Ammons,2,4.28,5,advanced,0,4,45,8
493,Lynn,Coelho,2,0.43,7,advanced,0,11,40,9
494,Krystal,Carpentieri,3,3.38,4,basic,0,1,34,7
495,Paulette,Rodriquez,3,0.42,4,expert,4,6,31,1
496,William,Schafer,3,3.57,3,expert,1,26,39,7
497,Lorena,Garrett,1,1.41,6,expert,0,5,25,3
498,Dion,Sherer,0,2.99,2,expert,0,46,36,5
499,Eric,Brinegar,3,2.3,0,advanced,0,1,26,5
500,Marie,Ford,0,0.61,2,advanced,0,14,35,13
501,Arnette,Blackwell,3,3.77,4,expert,5,6,37,14
502,Brian,Baker,0,1.43,3,basic,1,11,38,9
503,Mildred,Chouinard,3,0.8,5,basic,2,0,37,8
504,Harold,Lazaroff,1,4.98,6,advanced,0,8,22,1
505,Nancy,White,1,3.56,4,basic,4,5,19,12
506,Sandra,Burrell,0,4.87,3,expert,0,17,24,14
507,Victor,King,0,2.56,4,expert,0,7,51,1
508,Lena,Vargas,3,3.64,4,expert,1,0,31,4
509,James,Graham,1,3.02,4,basic,3,120,50,9
510,Tarah,Williams,2,3.32,7,basic,1,120,44,4
511,Jessica,Johnson,0,2.67,5,basic,2,14,35,11
512,Beverly,Lewis,3,0.82,6,advanced,1,5,49,5
513,Hannah,Dupree,0,1.69,3,expert,3,1,31,1
514,Cythia,Adams,3,0.93,2,expert,0,3,33,14
515,Robert,Keegan,1,4.48,1,advanced,1,4,20,7
516,Steven,Valazquez,2,1.92,6,expert,0,26,22,9
517,Nicole,Tow,2,4.44,7,advanced,1,1,22,12
518,Billy,Whitesell,2,0.14,7,basic,2,5,29,6
519,Chris,Starkey,3,4.29,4,expert,2,8,51,2
520,Linda,Perkins,1,1.1,4,basic,0,26,53,1
521,Angela,Graham,1,0.26,0,basic,0,1,50,1
522,Sheila,Barclay,1,1.36,7,advanced,0,72,23,2
523,Laverne,Moyer,3,3.07,3,advanced,2,6,40,10
524,Claudia,Jacobs,3,4.99,0,expert,0,7,49,13
525,Jana,Avila,2,4.17,6,expert,0,5,24,10
526,Noel,Besecker,3,1.13,4,advanced,1,2,43,1
527,Manuel,Teel,3,0.91,1,basic,0,17,38,6
528,Grace,Smith,1,3.27,6,advanced,0,35,32,9
529,David,Moats,1,3.8,5,basic,4,1,44,11
530,Rhonda,Lopez,3,0.99,1,basic,0,1,28,10
531,Charles,May,0,4.12,7,expert,0,8,31,1
532,Cruz,Winslow,3,0.85,6,expert,0,14,43,1
533,Norma,Janeway,1,2.77,5,advanced,0,35,43,9
534,Misty,Kim,3,0.97,1,advanced,0,20,20,5
535,Sergio,Buco,1,3.92,5,basic,4,11,40,8
536,Gary,Orosco,1,2.87,4,expert,0,7,25,1
537,Cindy,Tomlinson,3,0.88,7,basic,0,26,42,13
538,Nadine,Sirwet,0,4.6,5,advanced,0,35,45,11
539,Janice,Clark,1,3.22,1,expert,0,3,26,11
540,Derek,Pierce,2,2.72,6,advanced,0,0,48,10
541,Sheila,Hart,2,1.14,1,advanced,0,35,45,2
542,Jeanette,Mullins,0,1.41,4,expert,5,2,36,12
543,Masako,Maddox,0,3.04,6,basic,4,3,51,9
544,Lesley,Laverdiere,3,3.31,0,advanced,0,2,31,4
545,Roscoe,Ross,1,0.28,2,basic,0,2,54,2
546,Steven,Smith,1,4.62,3,advanced,0,17,29,8
547,Peter,Stewart,2,2.4,7,expert,1,8,36,6
548,Brian,Richards,3,2.69,5,basic,0,7,25,4
549,Mildred,Dominguez,3,2.1,7,basic,2,72,23,3
550,Alexander,Evans,0,0.78,0,advanced,0,72,41,10
551,Kenneth,Wilson,1,3.05,4,advanced,1,26,34,12
552,Thomas,Lightfoot,3,0.86,0,advanced,0,4,48,8
553,Justin,Avitia,3,1.14,4,expert,0,2,38,12
554,Cheryl,Boyd,2,1.99,7,basic,3,3,47,13
555,Brenda,Mellott,1,1.14,6,expert,1,3,36,1
556,Emma,Whitcomb,3,2.41,5,advanced,0,17,30,14
557,Mary,Reed,0,4.27,6,advanced,0,11,38,11
558,Chad,Smith,0,3.29,5,expert,0,3,36,2
559,Kathleen,Sherman,1,3.5,2,basic,0,5,30,6
560,Christina,Chavez,0,1.97,0,advanced,0,17,45,4
561,Lori,Silva,2,4.99,4,expert,0,0,41,12
562,Edna,Grant,3,3.22,1,basic,0,6,49,10
563,Katrina,Koczera,1,0.4,3,basic,3,72,43,8
564,Dion,Jaudon,3,3.6,0,basic,2,20,25,6
565,Glenda,Armstrong,1,3.23,5,expert,0,0,45,3
566,Shiela,Leblanc,3,0.49,1,basic,2,3,36,1
567,George,Mccutcheon,2,4.31,3,basic,3,0,36,3
568,Rashad,Berry,3,3.66,7,advanced,0,0,22,5
569,John,Hernandez,2,4.87,1,expert,0,2,33,14
570,Andrew,Goodman,0,2.03,3,basic,0,2,36,7
571,Nestor,Hernandez,3,1.61,2,expert,0,1,54,4
572,Charles,Krzeczkowski,2,2.53,1,basic,0,14,31,14
573,Toby,Shelby,3,2.65,6,advanced,0,46,50,2
574,John,Stanley,2,3.7,1,basic,0,2,41,8
575,Shannon,Curtis,2,0.24,6,advanced,0,72,42,12
576,Merle,Hargenrader,1,1.34,3,expert,0,46,54,8
577,Annie,Bradwell,3,3.12,2,expert,0,5,28,14
578,Jim,Gordon,1,3.66,3,expert,2,5,32,8
579,Mary,Nattiah,1,3.5,0,basic,2,1,29,13
580,Mary,Heath,0,3.39,3,expert,1,20,35,13
581,Ashley,Ferrera,1,0.89,5,basic,1,120,39,9
582,Penny,Pennell,1,2.41,1,advanced,0,7,53,4
583,Kelly,Gomez,2,4.56,7,advanced,2,120,34,4
584,Virginia,Guenther,3,2.31,3,expert,0,26,38,10
585,James,Jones,0,4.03,4,expert,5,5,33,2
586,John,Fobes,3,2.74,7,expert,0,3,23,10
587,David,Diaz,3,3.93,0,basic,5,2,37,7
588,Maria,Batts,3,1.13,1,advanced,5,120,44,7
589,Dena,Wang,1,4.05,3,advanced,0,0,22,4
590,Greta,Starns,0,4.59,1,basic,0,1,52,14
591,Meredith,Mead,2,4.56,6,expert,1,35,43,8
592,Victorina,Strother,0,3.02,7,expert,5,4,27,8
593,Jimmy,Rhee,3,3.81,4,expert,0,0,37,1
594,Erika,Feldkamp,1,0.41,3,expert,1,1,26,1
595,Jean,Rapp,0,2.19,2,advanced,2,5,44,1
596,Delores,Novak,0,1.34,0,advanced,0,5,36,9
597,Elizabeth,Waring,3,0.91,7,basic,0,2,47,13
598,Thomas,Stark,2,4.72,5,basic,0,35,43,11
599,Abraham,Sams,3,3.88,3,expert,0,8,27,14
600,Raymond,Gardner,0,0.57,4,expert,2,35,35,11
